QueryHitId, Hops, Seconds
1,4,0.0278272
2,4,0.027936
3,4,0.0282848
4,4,0.0288672
5,4,0.029872
6,5,0.0300096
7,4,0.0300224
8,4,0.0301216
9,4,0.030208
10,5,0.0309536
11,5,0.0314336
12,4,0.0316896
13,5,0.031776
14,5,0.0318464
15,5,0.0320032
16,5,0.032016
17,5,0.032128
18,4,0.032128
19,5,0.0322816
20,5,0.0322816
21,5,0.032496
22,5,0.0326208
23,5,0.0328064
24,5,0.0329152
25,5,0.032928
26,5,0.0331456
27,5,0.0332384
28,5,0.0333088
29,5,0.0335648
30,5,0.033696
31,5,0.033776
32,5,0.0337824
33,5,0.0338624
34,5,0.0341184
35,5,0.0341184
36,6,0.03432
37,5,0.0344576
38,6,0.034464
39,6,0.0344672
40,5,0.0345376
41,6,0.034544
42,6,0.0346496
43,6,0.0346624
44,6,0.0347552
45,6,0.034768
46,6,0.0347744
47,6,0.0348416
48,6,0.03488
49,6,0.0349216
50,5,0.0350016
51,6,0.0351008
52,6,0.035104
53,6,0.035104
54,6,0.0351648
55,6,0.0351808
56,6,0.0352544
57,6,0.03528
58,6,0.0353664
59,6,0.0353952
60,6,0.0354368
61,6,0.0354592
62,6,0.0355392
63,6,0.035552
64,6,0.0355712
65,6,0.0356192
66,6,0.0356544
67,6,0.0356736
68,6,0.0356992
69,6,0.0357344
70,6,0.0357376
71,6,0.0357696
72,6,0.0357792
73,6,0.0358144
74,6,0.0358176
75,6,0.0358496
76,6,0.0358592
77,6,0.0358944
78,6,0.0358976
79,6,0.0359232
80,6,0.0359296
81,6,0.0359392
82,6,0.0359744
83,5,0.0359776
84,6,0.0360032
85,5,0.0360096
86,6,0.0360192
87,6,0.0360544
88,6,0.0360576
89,6,0.0360832
90,6,0.0360896
91,5,0.0360992
92,6,0.0361344
93,6,0.0361376
94,6,0.0361632
95,6,0.0361696
96,6,0.0361792
97,6,0.0362144
98,6,0.0362176
99,6,0.0362496
100,6,0.0362592
101,6,0.0362624
102,6,0.0362944
103,6,0.0362976
104,6,0.0363296
105,6,0.0363424
106,6,0.0363744
107,6,0.0363776
108,6,0.0364096
109,6,0.0364224
110,6,0.0364544
111,6,0.0364576
112,6,0.0364896
113,6,0.0365344
114,6,0.0365376
115,6,0.0366016
116,6,0.036608
117,6,0.0366144
118,6,0.0366176
119,6,0.036624
120,6,0.0366944
121,6,0.0366976
122,6,0.036704
123,6,0.0367136
124,6,0.0367744
125,6,0.0367776
126,6,0.0368256
127,6,0.0368544
128,6,0.0368576
129,6,0.0369344
130,6,0.0369376
131,7,0.0369792
132,6,0.0370144
133,6,0.0370176
134,6,0.0370976
135,6,0.0371136
136,6,0.0371776
137,7,0.0372416
138,6,0.0372448
139,6,0.0372576
140,7,0.0373248
141,6,0.0373376
142,7,0.0374048
143,6,0.0374176
144,6,0.0374464
145,7,0.037488
146,6,0.0374976
147,6,0.0375264
148,6,0.0375776
149,6,0.0376
150,7,0.0376576
151,7,0.0377024
152,6,0.0377376
153,7,0.0377824
154,6,0.0378176
155,7,0.0378272
156,7,0.0378624
157,7,0.0379424
158,7,0.0379456
159,7,0.0380224
160,7,0.038048
161,7,0.038064
162,7,0.0381024
163,7,0.0381312
164,7,0.0381664
165,7,0.0381824
166,7,0.0382016
167,7,0.0382112
168,6,0.0382464
169,7,0.0382624
170,7,0.0382816
171,7,0.0383008
172,7,0.0383424
173,7,0.0383616
174,7,0.0383776
175,7,0.0384032
176,7,0.0384224
177,7,0.0384416
178,7,0.0384576
179,7,0.0384832
180,7,0.0385024
181,7,0.0385216
182,7,0.0385376
183,7,0.0385632
184,7,0.0385824
185,7,0.0386016
186,7,0.0386048
187,7,0.0386176
188,7,0.0386432
189,7,0.0386624
190,7,0.0386816
191,7,0.0386976
192,7,0.0387232
193,7,0.0387424
194,7,0.0387456
195,7,0.0387616
196,7,0.0387776
197,7,0.0388032
198,7,0.0388224
199,7,0.0388416
200,7,0.0388416
201,7,0.0388576
202,7,0.0388832
203,7,0.0389024
204,7,0.0389216
205,7,0.0389376
206,7,0.0389632
207,7,0.0389824
208,7,0.0390016
209,7,0.0390176
210,7,0.0390336
211,7,0.0390432
212,7,0.0390624
213,7,0.0390816
214,7,0.0390976
215,7,0.0391232
216,7,0.0391424
217,7,0.0391616
218,7,0.0391648
219,7,0.0391776
220,7,0.0392032
221,7,0.0392224
222,7,0.0392416
223,7,0.0392448
224,7,0.0392576
225,7,0.0392832
226,7,0.0393024
227,7,0.0393216
228,7,0.0393248
229,7,0.0393376
230,7,0.0393632
231,7,0.0393824
232,7,0.0394016
233,7,0.0394048
234,7,0.0394176
235,7,0.0394432
236,7,0.0394624
237,7,0.0394816
238,7,0.0394848
239,7,0.0394976
240,7,0.0395232
241,7,0.0395424
242,7,0.0395616
243,7,0.0395648
244,7,0.0395776
245,7,0.0396032
246,7,0.0396224
247,7,0.0396416
248,7,0.0396448
249,7,0.0396576
250,7,0.0396832
251,7,0.0397024
252,7,0.0397216
253,7,0.0397248
254,7,0.0397376
255,7,0.0397632
256,7,0.0397824
257,7,0.0398016
258,7,0.0398048
259,7,0.0398176
260,7,0.0398432
261,7,0.0398624
262,7,0.0398816
263,7,0.0398848
264,7,0.0398976
265,7,0.0399232
266,7,0.0399424
267,7,0.0399616
268,7,0.0399648
269,7,0.0399776
270,7,0.0400032
271,7,0.0400224
272,7,0.0400416
273,7,0.0400448
274,7,0.0400576
275,7,0.0400832
276,7,0.0401024
277,7,0.0401216
278,7,0.0401248
279,7,0.0401376
280,7,0.0401632
281,7,0.0401824
282,7,0.0402016
283,7,0.0402048
284,7,0.0402176
285,7,0.0402432
286,7,0.0402624
287,7,0.0402816
288,7,0.0402848
289,7,0.0402976
290,7,0.0403232
291,7,0.0403424
292,7,0.0403616
293,7,0.0403648
294,7,0.0403776
295,7,0.0404032
296,7,0.0404224
297,7,0.0404416
298,7,0.0404448
299,7,0.0404576
300,7,0.0404832
301,7,0.0405024
302,7,0.0405216
303,7,0.0405248
304,7,0.0405376
305,7,0.0405632
306,7,0.0405824
307,7,0.0406016
308,7,0.0406048
309,7,0.0406176
310,7,0.0406432
311,7,0.0406624
312,7,0.0406816
313,7,0.0406848
314,7,0.0406976
315,7,0.0407232
316,7,0.0407424
317,7,0.0407616
318,7,0.0407648
319,7,0.0407776
320,7,0.0408032
321,7,0.0408224
322,7,0.0408416
323,7,0.0408448
324,7,0.0408576
325,7,0.0408832
326,7,0.0409024
327,7,0.0409216
328,7,0.0409248
329,7,0.0409376
330,7,0.0409632
331,7,0.0409824
332,7,0.0410016
333,7,0.0410048
334,7,0.0410176
335,7,0.0410432
336,7,0.0410624
337,7,0.0410816
338,7,0.0410848
339,7,0.0410976
340,7,0.0411232
341,7,0.0411424
342,7,0.0411616
343,7,0.0411648
344,7,0.0411776
345,7,0.0412032
346,7,0.0412224
347,7,0.0412416
348,7,0.0412448
349,7,0.0412576
350,7,0.0412832
351,7,0.0413024
352,7,0.0413216
353,7,0.0413248
354,7,0.0413376
355,7,0.0413632
356,7,0.0413824
357,7,0.0414016
358,7,0.0414048
359,7,0.0414176
360,7,0.0414432
361,7,0.0414624
362,7,0.0414816
363,7,0.0414848
364,7,0.0414976
365,7,0.0415232
366,7,0.0415424
367,7,0.0415616
368,7,0.0415648
369,7,0.0415776
370,7,0.0416032
371,7,0.0416224
372,7,0.0416416
373,7,0.0416448
374,7,0.0416576
375,7,0.0416832
376,7,0.0417024
377,7,0.0417216
378,7,0.0417248
379,7,0.0417376
380,7,0.0417632
381,7,0.0417824
382,7,0.0418016
383,7,0.0418048
384,7,0.0418176
385,7,0.0418432
386,7,0.0418624
387,7,0.0418816
388,7,0.0418848
389,7,0.0418976
390,7,0.0419232
391,7,0.0419424
392,7,0.0419616
393,7,0.0419648
394,7,0.0419776
395,7,0.0420032
396,7,0.0420224
397,7,0.0420416
398,7,0.0420448
399,7,0.0420576
400,7,0.0420832
401,7,0.0421024
402,7,0.0421216
403,7,0.0421248
404,7,0.0421376
405,7,0.0421632
406,7,0.0421824
407,7,0.0422016
408,7,0.0422048
409,7,0.0422176
410,7,0.0422432
411,7,0.0422624
412,7,0.0422816
413,7,0.0422976
414,7,0.0423232
415,7,0.0423264
416,7,0.0423424
417,7,0.0423616
418,7,0.0423776
419,7,0.0424032
420,7,0.0424224
421,7,0.042432
422,7,0.0424416
423,7,0.0424576
424,7,0.0424832
425,7,0.0425024
426,7,0.042512
427,7,0.0425216
428,7,0.0425376
429,7,0.0425632
430,7,0.0425824
431,7,0.042592
432,7,0.0426016
433,7,0.0426176
434,7,0.0426432
435,7,0.0426624
436,7,0.042672
437,7,0.0426816
438,7,0.0426976
439,7,0.0427232
440,7,0.0427424
441,7,0.042752
442,7,0.0427616
443,7,0.0427776
444,7,0.0428032
445,7,0.0428224
446,7,0.0428416
447,7,0.0428576
448,7,0.0428832
449,7,0.0429024
450,7,0.0429216
451,7,0.0429376
452,7,0.0429632
453,7,0.0429824
454,7,0.0430016
455,7,0.0430176
456,7,0.0430432
457,7,0.0430624
458,7,0.0430816
459,7,0.0430976
460,7,0.0431104
461,7,0.0431232
462,7,0.0431424
463,7,0.0431616
464,7,0.0432032
465,7,0.0432224
466,7,0.043232
467,7,0.0432416
468,7,0.0432832
469,7,0.0433024
470,7,0.0433216
471,7,0.0433504
472,7,0.0433632
473,7,0.0433632
474,7,0.0433824
475,7,0.0434016
476,7,0.0434432
477,7,0.0434432
478,7,0.0434624
479,7,0.0434816
480,7,0.0435232
481,7,0.0435232
482,7,0.0435424
483,7,0.0435616
484,7,0.0436032
485,7,0.0436032
486,7,0.0436224
487,7,0.0436416
488,7,0.0436832
489,7,0.0436832
490,7,0.0437024
491,7,0.0437216
492,7,0.0437632
493,7,0.0437632
494,7,0.0437824
495,7,0.0438016
496,7,0.0438432
497,7,0.0438432
498,7,0.0438624
499,7,0.0438816
500,7,0.0439136
501,7,0.0439232
502,7,0.0439232
503,7,0.0439424
504,7,0.0439616
505,7,0.0440032
506,7,0.0440032
507,7,0.0440224
508,7,0.0440448
509,7,0.0440832
510,7,0.0440832
511,7,0.0441024
512,7,0.0441632
513,7,0.0441632
514,7,0.0441632
515,7,0.044176
516,7,0.0441824
517,7,0.0442432
518,7,0.0442624
519,7,0.0442688
520,7,0.0442944
521,7,0.0443232
522,7,0.0443424
523,7,0.0443744
524,7,0.0444032
525,7,0.0444224
526,7,0.0444256
527,7,0.0444384
528,7,0.0444832
529,7,0.0445024
530,7,0.0445312
531,7,0.0445824
532,7,0.0446112
533,7,0.0446624
534,7,0.0446624
535,7,0.044688
536,7,0.0446912
537,7,0.0447712
538,7,0.0447936
539,7,0.0448512
540,7,0.0448736
541,7,0.0449312
542,7,0.0449632
543,7,0.0450112
544,7,0.0450656
545,7,0.0451456
546,7,0.0451872
547,7,0.0452864
548,7,0.0453184
549,7,0.0453792
550,7,0.045488
551,7,0.0456192
